candidate_id,rank,score,reasoning
CAND_0011687,1,0.8883,Senior NLP Engineer with 7.8 yrs; 7 core + 4 applied AI skills; assessed skill 78/100; strong JD-text match; response rate 0.89.
CAND_0018499,2,0.8685,Senior Machine Learning Engineer with 7.2 yrs; 7 core + 6 applied AI skills; assessed skill 72/100; strong JD-text match; response rate 0.61.
CAND_0040887,3,0.8513,Machine Learning Engineer with 4.7 yrs; 5 core + 3 applied AI skills; assessed skill 71/100; strong JD-text match; response rate 0.84.
CAND_0046525,4,0.8420,Senior Machine Learning Engineer with 6.1 yrs; 7 core + 3 applied AI skills; assessed skill 84/100; strong JD-text match; response rate 0.88.
CAND_0055905,5,0.8374,Senior Machine Learning Engineer with 8.1 yrs; 5 core + 6 applied AI skills; assessed skill 70/100; strong JD-text match; response rate 0.87.
CAND_0064326,6,0.8323,Search Engineer with 7.6 yrs; 8 core + 2 applied AI skills; assessed skill 69/100; strong JD-text match; response rate 0.94.
CAND_0077337,7,0.8260,Staff Machine Learning Engineer with 7.0 yrs; 9 core + 5 applied AI skills; assessed skill 63/100; strong JD-text match; response rate 0.95.
CAND_0027691,8,0.8257,NLP Engineer with 6.5 yrs; 7 core + 5 applied AI skills; assessed skill 70/100; strong JD-text match; response rate 0.68.
CAND_0036184,9,0.8209,Recommendation Systems Engineer with 6.0 yrs; 6 core + 5 applied AI skills; assessed skill 62/100; strong JD-text match; response rate 0.90.
CAND_0079387,10,0.8165,AI Engineer with 6.9 yrs; 8 core + 5 applied AI skills; assessed skill 74/100; strong JD-text match; response rate 0.81.
CAND_0039754,11,0.8140,Senior Applied Scientist with 16.2 yrs; 9 core + 3 applied AI skills; assessed skill 74/100; strong JD-text match; response rate 0.81.
CAND_0088025,12,0.8119,Staff Machine Learning Engineer with 8.6 yrs; 9 core + 4 applied AI skills; assessed skill 90/100; strong JD-text match; response rate 0.83.
CAND_0042506,13,0.8084,Search Engineer with 4.2 yrs; 7 core + 4 applied AI skills; assessed skill 70/100; strong JD-text match; response rate 0.48.
CAND_0043860,14,0.8064,Junior ML Engineer with 6.1 yrs; 3 core + 3 applied AI skills; assessed skill 67/100; strong JD-text match; response rate 0.81.
CAND_0046064,15,0.8053,Senior NLP Engineer with 8.9 yrs; 8 core + 1 applied AI skills; assessed skill 64/100; strong JD-text match; response rate 0.78.
CAND_0050454,16,0.7972,AI Engineer with 6.8 yrs; 8 core + 4 applied AI skills; assessed skill 59/100; strong JD-text match; response rate 0.77.
CAND_0004402,17,0.7915,AI Research Engineer with 6.0 yrs; 5 core + 4 applied AI skills; assessed skill 68/100; strong JD-text match; response rate 0.83.
CAND_0081846,18,0.7912,Lead AI Engineer with 6.7 yrs; 8 core + 6 applied AI skills; assessed skill 66/100; strong JD-text match; response rate 0.73.
CAND_0071974,19,0.7899,Senior AI Engineer with 7.8 yrs; 8 core + 5 applied AI skills; assessed skill 80/100; strong JD-text match; response rate 0.76.
CAND_0075574,20,0.7897,Machine Learning Engineer with 5.7 yrs; 11 core + 2 applied AI skills; assessed skill 69/100; strong JD-text match; response rate 0.58.
CAND_0016659,21,0.7888,ML Engineer with 4.4 yrs; 6 core + 1 applied AI skills; assessed skill 72/100; strong JD-text match; response rate 0.89.
CAND_0054100,22,0.7877,Junior ML Engineer with 6.0 yrs; 3 core + 3 applied AI skills; assessed skill 82/100; strong JD-text match; response rate 0.79.
CAND_0033445,23,0.7851,ML Engineer with 6.8 yrs; 4 core + 4 applied AI skills; assessed skill 65/100; strong JD-text match; response rate 0.94.
CAND_0053591,24,0.7849,AI Engineer with 5.3 yrs; 5 core + 3 applied AI skills; assessed skill 90/100; strong JD-text match; response rate 0.81.
CAND_0005538,25,0.7839,Senior AI Engineer with 5.9 yrs; 6 core + 0 applied AI skills; assessed skill 93/100; strong JD-text match; response rate 0.81.
CAND_0052328,26,0.7770,Recommendation Systems Engineer with 6.5 yrs; 6 core + 4 applied AI skills; assessed skill 76/100; strong JD-text match; response rate 0.79.
CAND_0041610,27,0.7760,Recommendation Systems Engineer with 6.7 yrs; 7 core + 4 applied AI skills; assessed skill 56/100; strong JD-text match; response rate 0.52.
CAND_0033179,28,0.7741,AI Research Engineer with 6.9 yrs; 5 core + 4 applied AI skills; assessed skill 67/100; strong JD-text match; response rate 0.84.
CAND_0009024,29,0.7735,Search Engineer with 5.2 yrs; 7 core + 3 applied AI skills; assessed skill 84/100; strong JD-text match; response rate 0.46.
CAND_0044222,30,0.7710,AI Engineer with 7.7 yrs; 7 core + 3 applied AI skills; assessed skill 68/100; strong JD-text match; response rate 0.60.
CAND_0041669,31,0.7708,Recommendation Systems Engineer with 8.0 yrs; 8 core + 4 applied AI skills; assessed skill 80/100; strong JD-text match; response rate 0.77.
CAND_0078002,32,0.7707,Machine Learning Engineer with 6.3 yrs; 8 core + 2 applied AI skills; assessed skill 80/100; strong JD-text match; response rate 0.86.
CAND_0052682,33,0.7700,NLP Engineer with 6.6 yrs; 4 core + 4 applied AI skills; assessed skill 60/100; strong JD-text match; response rate 0.88.
CAND_0096142,34,0.7698,Applied ML Engineer with 5.0 yrs; 7 core + 3 applied AI skills; assessed skill 86/100; strong JD-text match; response rate 0.84.
CAND_0091909,35,0.7688,Machine Learning Engineer with 6.9 yrs; 7 core + 5 applied AI skills; assessed skill 85/100; strong JD-text match; response rate 0.65.
CAND_0013613,36,0.7678,Machine Learning Engineer with 4.7 yrs; 5 core + 2 applied AI skills; assessed skill 73/100; strong JD-text match; response rate 0.73.
CAND_0061265,37,0.7673,Recommendation Systems Engineer with 6.6 yrs; 4 core + 4 applied AI skills; assessed skill 77/100; strong JD-text match; response rate 0.94.
CAND_0030348,38,0.7635,Machine Learning Engineer with 4.5 yrs; 6 core + 3 applied AI skills; assessed skill 87/100; strong JD-text match; response rate 0.54.
CAND_0060054,39,0.7635,AI Engineer with 6.4 yrs; 4 core + 2 applied AI skills; assessed skill 90/100; strong JD-text match; response rate 0.86.
CAND_0040117,40,0.7582,Recommendation Systems Engineer with 6.5 yrs; 5 core + 3 applied AI skills; assessed skill 64/100; strong JD-text match; response rate 0.66.
CAND_0084819,41,0.7575,Search Engineer with 4.5 yrs; 8 core + 5 applied AI skills; assessed skill 77/100; strong JD-text match; response rate 0.74.
CAND_0025640,42,0.7565,AI Research Engineer with 5.6 yrs; 6 core + 4 applied AI skills; assessed skill 64/100; strong JD-text match; response rate 0.87.
CAND_0068811,43,0.7546,Applied ML Engineer with 8.0 yrs; 9 core + 3 applied AI skills; assessed skill 53/100; strong JD-text match; response rate 0.42.
